id,idGeo,idUnit,idKpi,valueTime,timeUpdated,idResponsible,value,typeKpisValue,refSource,dimensions
474816191,770,21,1129,2016-01-01,2023-08-31,2947,236456.0,,Statista,
474820553,770,21,1129,2021-01-01,2023-08-31,2947,144116.0,,Statista,
474824918,770,21,1129,2026-01-01,2023-08-31,2947,240281.0,,Statista,
474813658,770,21,1129,2013-01-01,2023-08-31,2947,154930.0,,Statista,
474818807,770,21,1129,2019-01-01,2023-08-31,2947,437569.0,,Statista,
474823173,773,21,1129,2024-01-01,2023-08-31,2947,229933.0,,Statista,
474814486,773,21,1129,2014-01-01,2023-08-31,2947,127633.0,,Statista,
474817062,773,21,1129,2017-01-01,2023-08-31,2947,408051.0,,Statista,
474821427,773,21,1129,2022-01-01,2023-08-31,2947,215256.0,,Statista,
474825792,773,21,1129,2027-01-01,2023-08-31,2947,247141.0,,Statista,
474819681,773,21,1129,2020-01-01,2023-08-31,2947,355195.0,,Statista,
474815332,773,21,1129,2015-01-01,2023-08-31,2947,99227.0,,Statista,
474824046,773,21,1129,2025-01-01,2023-08-31,2947,269607.0,,Statista,
474817935,773,21,1129,2018-01-01,2023-08-31,2947,533087.0,,Statista,
474822300,773,21,1129,2023-01-01,2023-08-31,2947,220708.0,,Statista,
474816192,773,21,1129,2016-01-01,2023-08-31,2947,236456.0,,Statista,
474820554,773,21,1129,2021-01-01,2023-08-31,2947,144116.0,,Statista,
474824919,773,21,1129,2026-01-01,2023-08-31,2947,240281.0,,Statista,
474813659,773,21,1129,2013-01-01,2023-08-31,2947,154930.0,,Statista,
474818808,773,21,1129,2019-01-01,2023-08-31,2947,437569.0,,Statista,
