id,name,isoCode,description,idBaseUnit,magnitude,typeUnit
193,bicycles,,bicycles - xMO published unit,193,1.0,special - units
194,thousand bicycles,,thousand bicycles - xMO published unit,193,1000.0,special - units
195,million bicycles,,million bicycles - xMO published unit,193,1000000.0,special - units
196,Megawatt-hours,,one thousand kilowatt-hours (one million watt hours) ,86,1000.0,special - units
197,Gigawatt-hours,,one million kilowatt-hours (one billion watt hours),86,1000000.0,special - units
198,Terawatt-hours,,one billion kilowatt-hours (one trillion watt hours) ,86,1000000000.0,special - units
199,Petawatt-hours,,one trillion kilowatt-hours (one quadrillion watt hours),86,1000000000000.0,special - units
200,Watt,,one watt,200,1.0,special - units
201,Kilowatt,,one kilowatt (one thousand watts),200,1000.0,special - units
202,Megawatt,,one megawatt (one million watts),200,1000000.0,special - units
203,Gigawatt ,,one gigawatt (one billion watts),200,1000000000.0,special - units
204,Terawatt ,,one terawatt (one trillion watts),200,1000000000000.0,special - units
205,Petawatt ,,one petawatt (one quadrillion watts),200,1000000000000000.0,special - units
206,Metric ton of carbon dioxide,,one metric ton of carbon dioxide,206,1.0,special - units
207,CO2 emission intensity,,one gram of carbon dioxide emitted per kilowatt-hour,207,1.0,special - units
